Customer_ID,Segments
18287.0,Gold_customers
18286.0,Fading_flames
18285.0,Fading_flames
18284.0,Fading_flames
18283.0,Platinum_customers
18282.0,Platinum_customers
18281.0,Silver_customers
18280.0,Raising_stars
18279.0,Fading_flames
18278.0,Silver_customers
18277.0,Silver_customers
18276.0,Gold_customers
18275.0,Fading_flames
18274.0,Platinum_customers
18273.0,Platinum_customers
18272.0,Platinum_customers
18271.0,Fading_flames
18270.0,Gold_customers
18269.0,Raising_stars
18268.0,Silver_customers
18267.0,Fading_flames
18266.0,Fading_flames
18265.0,Silver_customers
18264.0,Fading_flames
18263.0,Gold_customers
18262.0,Silver_customers
18261.0,Gold_customers
18260.0,Silver_customers
18259.0,Gold_customers
18258.0,Fading_flames
18257.0,Gold_customers
18256.0,Raising_stars
18255.0,Silver_customers
18254.0,Fading_flames
18253.0,Fading_flames
18252.0,Gold_customers
18251.0,Silver_customers
18250.0,Raising_stars
18249.0,Platinum_customers
18248.0,Silver_customers
18247.0,Raising_stars
18246.0,Gold_customers
18245.0,Platinum_customers
18244.0,Fading_flames
18243.0,Fading_flames
18242.0,Silver_customers
18241.0,Platinum_customers
18240.0,Gold_customers
18239.0,Raising_stars
18238.0,Fading_flames
18237.0,Platinum_customers
18236.0,Gold_customers
18235.0,Silver_customers
18234.0,Fading_flames
18233.0,Raising_stars
18232.0,Silver_customers
18231.0,Raising_stars
18230.0,Platinum_customers
18229.0,Platinum_customers
18228.0,Gold_customers
18227.0,Raising_stars
18226.0,Gold_customers
18225.0,Platinum_customers
18224.0,Raising_stars
18223.0,Platinum_customers
18222.0,Silver_customers
18221.0,Gold_customers
18220.0,Raising_stars
18219.0,Platinum_customers
18218.0,Raising_stars
18217.0,Gold_customers
18216.0,Gold_customers
18215.0,Silver_customers
18214.0,Fading_flames
18213.0,Raising_stars
18212.0,Raising_stars
18211.0,Gold_customers
18210.0,Platinum_customers
18209.0,Gold_customers
18208.0,Fading_flames
18207.0,Fading_flames
18206.0,Fading_flames
18205.0,Gold_customers
18204.0,Silver_customers
18203.0,Silver_customers
18202.0,Raising_stars
18201.0,Fading_flames
18200.0,Silver_customers
18199.0,Fading_flames
18198.0,Platinum_customers
18197.0,Fading_flames
18196.0,Silver_customers
18195.0,Raising_stars
18194.0,Silver_customers
18193.0,Silver_customers
18192.0,Silver_customers
18191.0,Raising_stars
18190.0,Raising_stars
18189.0,Silver_customers
18188.0,Platinum_customers
18187.0,Fading_flames
18186.0,Fading_flames
18185.0,Raising_stars
18184.0,Platinum_customers
18183.0,Raising_stars
18182.0,Fading_flames
18181.0,Gold_customers
18180.0,Platinum_customers
18179.0,Platinum_customers
18178.0,Silver_customers
18177.0,Gold_customers
18176.0,Raising_stars
18175.0,Fading_flames
18174.0,Platinum_customers
18173.0,Silver_customers
18172.0,Platinum_customers
18171.0,Silver_customers
18170.0,Gold_customers
18169.0,Silver_customers
18168.0,Silver_customers
18167.0,Platinum_customers
18166.0,Fading_flames
18165.0,Silver_customers
18164.0,Gold_customers
18163.0,Fading_flames
18162.0,Fading_flames
18161.0,Platinum_customers
18160.0,Gold_customers
18159.0,Raising_stars
18158.0,Platinum_customers
18157.0,Fading_flames
18156.0,Platinum_customers
18155.0,Silver_customers
18154.0,Platinum_customers
